t_start,median_cost_eur,mean_runtime_sec,best_cost_eur,worst_cost_eur,median_fuel_burn_kg
t_start_0.0,38695.0241588188,3.749500596668804,38500.75031136483,38895.858300801054,51797.22212299488
t_start_1.0,38793.060579617,3.7386317433343113,38598.07382174658,38942.48489995986,51944.38104220366
t_start_2.0,38885.40296618328,3.733390889997827,38721.245891784034,39049.177303024735,52097.552955182095
t_start_3.0,39043.43426981381,3.7327542666646574,38891.03637492864,39179.119381613,52318.872247305364
t_start_4.0,39149.1716758136,3.7206282833358273,39030.10079448765,39329.765259266016,52461.52825515901
t_start_5.0,39222.716568274416,3.7276459966660087,39035.158934909065,39352.3949318176,52554.359895018686
t_start_6.0,39282.443246438575,3.794077440002972,39141.38665958906,39456.048457476594,52607.59464801256
t_start_7.0,39304.547197349195,3.7340711466647916,39152.42866605944,39458.8983252288,52649.81125084341
t_start_8.0,39320.66271776773,3.7254624533350578,39144.68631909112,39409.50255736936,52657.5541530218
t_start_9.0,39285.923184936466,3.7060194300002576,39139.95807464974,39390.62310413955,52606.98674936527
t_start_10.0,39269.071435279155,3.730070676662338,39136.1164413,39385.69059505411,52554.73523158427
t_start_11.0,39218.068414851565,3.78324604666559,39081.40016097712,39340.95585745886,52460.89783482216
t_start_12.0,39160.009057286705,3.7590628400018127,39006.20514418978,39263.92392948223,52382.900603141185
t_start_13.0,39073.04733860028,3.717466113331223,38800.21968711348,39216.76640338623,52266.911790562386
t_start_14.0,38989.23395751057,3.6984449699996427,38844.313988237045,39165.67925174459,52163.97698323797
t_start_15.0,38986.604002879016,3.9077840766694862,38863.62595658417,39172.91694639609,52165.81208776722
t_start_16.0,38995.93495743611,3.7207792300042155,38871.6867044645,39119.26383115103,52183.21238654487
t_start_17.0,39013.060242971835,3.712096099999811,38827.76791976736,39167.3227434725,52175.81833616775
t_start_18.0,39048.39658095394,3.72483555333262,38888.02331978691,39140.66350489393,52229.57456382652
t_start_19.0,39028.73552094639,3.7094043999978266,38842.30690194027,39197.57554316004,52190.7181239204
t_start_20.0,39042.78698657157,3.720739623331853,38884.45152911926,39150.58292977543,52227.486246848464
t_start_21.0,39049.37866303057,3.699210373328727,38923.65817527582,39154.20259649772,52250.470192320914
t_start_22.0,39057.10165047967,3.7124246500054143,38885.64988878087,39156.52409506461,52235.65847246906
t_start_23.0,39043.03000100315,3.709488806663042,38945.3793073534,39210.49280117825,52236.174481484115
t_start_24.0,39097.977977820956,3.7520977866651566,38992.45926796422,39214.66038886825,52329.14192341319
t_start_25.0,39188.46720146324,3.70310841666748,39063.05387012636,39347.99201433562,52438.00115563249
t_start_26.0,39277.126002386765,3.704655450002368,39183.737641877226,39442.48464329647,52551.605081873095
t_start_27.0,39355.87391232856,3.729382586668362,39206.16255976836,39448.951932169046,52653.851970441
t_start_28.0,39331.68915680307,3.726301829998071,39202.25364857758,39448.11416235525,52603.51609536563
t_start_29.0,39442.53216270591,3.717811849999513,39242.5636495846,39580.78879596498,52768.860771692925
t_start_30.0,39572.72097409796,3.707417106665283,39406.472291006095,885944996.3580042,52974.52700177916
