Gross_Weight,Mach,altitude,fuel_flow
220000,0.82,34000,6783.32
224900,0.82,34000,6893.17
229800,0.82,34000,7009.31
234700,0.82,34000,7132.2
239600,0.82,34000,7262.34
244500,0.82,34000,7400.26
249400,0.82,34000,7546.57
254300,0.82,34000,7701.88
259200,0.82,34000,7866.89
264100,0.82,34000,8042.35
269000,0.82,34000,8229.05
273900,0.82,34000,8427.87
278800,0.82,34000,8639.77
283700,0.82,34000,8865.77
288600,0.82,34000,9107.0
293500,0.82,34000,9364.68
298400,0.82,34000,9640.15
303300,0.82,34000,9934.86
308200,0.82,34000,10250.4
313100,0.82,34000,10588.52
318000,0.82,34000,10951.12
322900,0.82,34000,11340.3
327800,0.82,34000,11758.38
332700,0.82,34000,12207.9
337600,0.82,34000,12691.67
342500,0.82,34000,13212.81
347400,0.82,34000,13774.75
352300,0.82,34000,14381.32
