t_start_h,total_cost,total_fuel_kg,total_time_h
0.0,39085.3321481422,52518.02989351277,7.414208064831754
1.0,39206.132008382556,52693.915864939816,7.441300199580258
2.0,39306.11695051526,52839.494624506835,7.463737089021799
3.0,39429.05662167537,53018.49528113405,7.491334949762599
4.0,39521.18335382323,53152.63151620847,7.512034636083763
5.0,39653.26401188341,53344.93966683346,7.541736485859774
6.0,39812.309065881156,53576.50676686054,7.577529089879687
7.0,39935.64968580326,53756.08815038242,7.605304274455845
8.0,40010.938196049654,53865.70626858657,7.622269722033974
9.0,40092.56787214133,53984.55688484544,7.640666223817744
10.0,40118.32822802806,54022.062688705526,7.6464883594780835
11.0,40137.4087135115,54049.84289459974,7.6508018278116605
12.0,40141.199477576,54055.36183431643,7.651665019365509
13.0,40131.32681616667,54040.987299387074,7.649445921806062
14.0,40142.7995101792,54057.690961491055,7.652039249224114
15.0,40131.65546766489,54041.46539299333,7.6495318213090115
16.0,40142.98228822576,54057.95702270407,7.652082118618443
17.0,40225.83035455575,54178.5816608017,7.670750964188644
18.0,40259.2318364661,54227.212902076,7.678290484349293
19.0,40275.175088136166,54250.425145587404,7.6819036202569055
20.0,40270.250433597765,54243.25493062603,7.680795208057274
21.0,40210.95738917522,54156.92651910576,7.667413498884928
22.0,40141.24193536973,54055.42269040201,7.6517020542223815
23.0,40099.398344636036,53994.49961422468,7.642270008421636
24.0,40029.90339747257,53893.31715279487,7.626599243324833
25.0,39980.808790496245,53821.83691400175,7.615529575013648
26.0,39953.317385744645,53781.810777274295,7.6093165267992715
27.0,39965.81412192135,53800.00488682774,7.6121557933215955
28.0,40021.177793794806,53880.612816293586,7.624635419288934
29.0,40202.47283328078,54144.573487089125,7.665494130516556
30.0,40236.50322247941,54194.12044061152,7.673174238157868
